date,open,close,high,low,volume,amount,pct_change
2023-09-13,6169.53,6103.14,6177.38,6059.29,125032676,137493570903.00,-1.32
2023-09-14,6101.77,6068.71,6102.49,6037.72,114441844,123059669839.30,-0.56
2023-09-15,6082.19,6079.06,6117.82,6046.87,124196903,137783233761.50,0.17
2023-09-18,6058.30,6083.97,6106.27,6029.97,118394457,132969980890.50,0.08
2023-09-19,6077.40,6031.04,6077.40,6011.91,112745993,121079846424.00,-0.87
2023-09-20,6020.91,5982.56,6038.75,5982.11,105727974,115642454583.70,-0.80
2023-09-21,5968.35,5939.66,5999.40,5931.10,99709529,107167135605.80,-0.72
2023-09-22,5934.27,6054.93,6056.45,5923.24,133556772,147800973210.00,1.94
2023-09-25,6051.82,6027.39,6058.47,6014.61,129532612,146282703213.50,-0.45
2023-09-26,6017.30,5996.11,6034.85,5996.05,114061563,127029193782.80,-0.52
2023-09-27,5989.80,6034.06,6063.91,5989.16,121662330,141278698421.40,0.63
2023-09-28,6048.83,6078.94,6085.53,6048.68,127759256,144764775657.90,0.74
2023-10-09,6073.28,6059.97,6075.46,6025.36,136755964,151374309942.00,-0.31
2023-10-10,6069.91,6043.48,6084.93,6037.47,140815312,164183443354.70,-0.27
2023-10-11,6056.03,6059.40,6105.42,6040.50,143601130,169349269562.30,0.26
2023-10-12,6088.55,6104.46,6106.95,6064.82,145452824,171667913017.60,0.74
2023-10-13,6080.33,6081.87,6091.54,6063.56,144115089,174075416253.50,-0.37
2023-10-16,6089.42,6024.36,6089.48,5996.79,164459217,187595023327.50,-0.95
2023-10-17,6027.91,6011.37,6028.02,5967.30,139421234,158570292157.50,-0.22
2023-10-18,5992.51,5908.01,5992.51,5905.84,145065153,164665612255.60,-1.72
2023-10-19,5879.81,5842.89,5929.58,5842.41,155497801,169977393153.20,-1.10
2023-10-20,5816.72,5774.32,5855.46,5767.02,138964349,152073198748.00,-1.17
2023-10-23,5754.18,5638.14,5754.25,5613.73,145845854,156462250900.60,-2.36
2023-10-24,5654.93,5719.32,5734.55,5625.71,151553066,163599460545.30,1.44
2023-10-25,5753.68,5778.90,5811.27,5752.79,163597326,178946013549.60,1.04
2023-10-26,5745.53,5811.69,5817.63,5724.00,157275832,177171582140.60,0.57
2023-10-27,5792.61,5916.68,5937.54,5774.63,172179646,201532115498.50,1.81
2023-10-30,5899.38,6006.56,6017.28,5898.69,179281052,219628050414.60,1.52
2023-10-31,6003.37,5969.34,6013.73,5934.20,165318441,196000266081.50,-0.62
2023-11-01,5969.81,5958.42,5983.87,5943.19,147451128,169629133630.90,-0.18
2023-11-02,5958.48,5885.25,5983.22,5885.25,140144412,159352391952.80,-1.23
2023-11-03,5895.60,5973.17,5992.75,5895.60,146120206,172570856141.90,1.49
2023-11-06,6007.43,6096.57,6097.04,6007.43,186603146,215540583016.60,2.07
2023-11-07,6088.51,6116.76,6132.14,6068.24,173946707,206605084921.00,0.33
2023-11-08,6114.99,6138.94,6160.24,6099.29,183964088,224318842687.90,0.36
2023-11-09,6135.07,6100.69,6160.98,6087.73,162244319,197856013542.60,-0.62
2023-11-10,6079.47,6088.56,6097.61,6055.99,141567605,169645048925.20,-0.20
2023-11-13,6107.27,6144.63,6144.63,6095.27,150359606,185937464876.60,0.92
2023-11-14,6143.48,6181.98,6189.50,6133.22,160172363,195770027635.70,0.61
2023-11-15,6226.20,6207.27,6234.54,6184.90,167613188,214464439439.30,0.41
2023-11-16,6188.83,6145.15,6193.64,6143.82,143682116,180547587296.00,-1.00
2023-11-17,6135.83,6199.23,6199.23,6131.67,145989658,178812142666.70,0.88
2023-11-20,6211.34,6253.28,6254.14,6184.64,160246271,200298798170.40,0.87
2023-11-21,6258.74,6212.13,6267.22,6200.69,176150665,211256978811.50,-0.66
2023-11-22,6193.36,6132.97,6221.87,6132.97,171183163,191793674607.70,-1.27
2023-11-23,6123.59,6197.53,6199.88,6107.00,152107183,169982693460.00,1.05
2023-11-24,6194.02,6115.41,6194.02,6098.96,149815992,166155059738.90,-1.33
2023-11-27,6107.56,6111.36,6130.40,6076.71,154433077,169812162709.90,-0.07
2023-11-28,6099.51,6143.30,6143.30,6065.69,128368133,147277411213.90,0.52
2023-11-29,6138.76,6113.37,6154.90,6103.98,135643952,150365714312.90,-0.49
2023-11-30,6104.77,6080.55,6110.41,6031.48,131032999,148669808037.80,-0.54
2023-12-01,6078.64,6130.05,6142.74,6059.80,145352744,166337102381.50,0.81
2023-12-04,6131.59,6114.39,6147.05,6110.25,153414365,177072943576.50,-0.26
2023-12-05,6098.12,5992.60,6098.12,5992.60,142775427,162512340061.10,-1.99
2023-12-06,5977.61,6023.80,6066.42,5970.28,144320624,153827863997.40,0.52
2023-12-07,6019.96,6020.83,6044.86,5983.25,148536627,166906747990.90,-0.05
2023-12-08,6021.92,6003.14,6056.06,6003.14,167971282,194131627853.10,-0.29
2023-12-11,5984.68,6075.08,6080.80,5933.74,159843436,181217092726.10,1.20
2023-12-12,6070.88,6078.99,6084.28,6050.73,129712088,152793036408.50,0.06
2023-12-13,6067.78,6019.55,6076.36,6019.55,122547150,143748119086.90,-0.98
2023-12-14,6038.92,5991.86,6072.61,5989.23,120199382,138756005777.90,-0.46
2023-12-15,6000.26,5951.60,6016.40,5935.32,123710100,138326703914.60,-0.67
2023-12-18,5939.43,5857.01,5941.90,5845.96,125259423,130966305876.30,-1.59
2023-12-19,5853.19,5863.54,5887.77,5820.51,111682675,116256467570.00,0.11
2023-12-20,5869.56,5761.31,5873.76,5761.31,111630053,120601845450.70,-1.74
2023-12-21,5739.02,5798.91,5814.04,5685.64,124949100,134047868867.10,0.65
2023-12-22,5797.61,5733.91,5819.65,5713.80,141167085,147745244442.00,-1.12
2023-12-25,5726.56,5735.73,5753.43,5698.32,109638963,116368993151.30,0.03
2023-12-26,5734.15,5651.59,5734.56,5632.87,104063276,112250605152.70,-1.47
2023-12-27,5658.19,5696.16,5703.17,5636.94,108265354,115290789797.90,0.79
2023-12-28,5687.75,5805.53,5824.40,5660.13,144134383,155833384642.40,1.92
2023-12-29,5797.58,5887.24,5891.63,5795.76,134690778,152875806702.90,1.41
2024-01-02,5891.17,5854.75,5891.23,5854.59,128377670,141351641579.10,-0.55
2024-01-03,5838.55,5824.04,5861.41,5785.25,119248925,131179260680.90,-0.52
2024-01-04,5814.94,5783.02,5814.94,5753.47,102952534,112642946169.60,-0.70
2024-01-05,5779.76,5675.81,5796.76,5652.13,119205197,126682946916.80,-1.85
2024-01-08,5664.45,5543.57,5664.45,5543.57,110512726,112633892924.60,-2.33
2024-01-09,5553.18,5553.30,5607.22,5513.13,110223223,114678407169.20,0.18
2024-01-10,5540.66,5512.07,5580.42,5462.36,106499446,108158125143.00,-0.74
2024-01-11,5507.80,5611.11,5634.02,5502.29,124717749,123635425166.10,1.80
2024-01-12,5601.10,5574.49,5646.27,5574.41,121066881,118289969742.10,-0.65
2024-01-15,5558.15,5559.38,5607.13,5520.36,108667184,107428092792.80,-0.27
2024-01-16,5555.00,5539.47,5566.21,5463.29,116803108,113669505608.70,-0.36
2024-01-17,5529.89,5389.12,5529.89,5389.12,104037354,104138700026.90,-2.71
2024-01-18,5360.21,5373.42,5375.23,5214.90,148711036,142966452446.50,-0.29
2024-01-19,5364.81,5306.99,5395.14,5304.96,106431086,109174686371.90,-1.24
2024-01-22,5298.31,5000.83,5298.31,4970.20,144252512,139600818351.00,-5.77
2024-01-23,4992.79,5079.63,5102.44,4939.52,130288241,124162903226.60,1.58
2024-01-24,5102.82,5143.41,5151.42,4951.90,143326441,135222048613.60,1.26
2024-01-25,5143.29,5316.20,5316.26,5112.54,163144917,158319218894.50,3.36
2024-01-26,5303.96,5269.76,5352.85,5253.32,155415661,150031258107.20,-0.87
2024-01-29,5282.82,5131.25,5301.87,5131.25,150000892,141294666661.00,-2.63
2024-01-30,5099.59,4984.66,5144.29,4978.91,125015069,117586947100.20,-2.86
2024-01-31,4949.19,4785.03,4986.10,4775.62,158237155,139299752958.00,-4.00
2024-02-01,4753.64,4750.44,4858.72,4684.47,147115516,129099528518.50,-0.72
2024-02-02,4753.67,4574.67,4802.62,4431.82,176885435,150000797614.00,-3.70
2024-02-05,4534.75,4293.07,4534.75,4177.94,211274330,166206907857.50,-6.16
